發生時間,處理別,肇事地點,座標-X,座標-Y
2021/1/5 06:00,2,北投區石牌路2段191號,121.5185629,25.11869642
2021/1/5 06:45,2,松山區民生東路5段262號,121.5671757,25.05911047
2021/1/5 06:53,2,信義區松壽路2號,121.5629843,25.03589289
2021/1/5 06:58,2,士林區德行東路132巷3弄與德行東路132巷口,121.5292975,25.10747866
2021/1/5 07:18,2,萬華區萬大路與興寧街口,121.5005428,25.0322564
2021/1/5 07:37,2,萬華區西園路2段173號,121.4952513,25.02806946
2021/1/5 07:43,2,北投區大業路與大同街口,121.4990994,25.1369436
2021/1/5 07:46,2,士林區中山北路5段698巷與中山北路5段口,121.5274774,25.09784026
2021/1/5 07:50,2,中山區濱江街195號,121.5396861,25.07261021
2021/1/5 07:54,2,萬華區華中橋機車道,121.4953006,25.01190713
2021/1/5 08:11,2,中山區民族東路158號,121.5293689,25.06825458
2021/1/5 08:15,2,士林區承德路4段40巷與通河街141巷口,121.5210355,25.08133634
2021/1/5 08:16,2,士林區延平北路6段與社正路口,121.5088775,25.08806035
2021/1/5 08:30,2,信義區忠孝東路5段與忠孝東路5段345巷口,121.5741099,25.04094406
2021/1/5 08:30,2,信義區忠孝東路5段275巷與虎林街120巷口口,121.5714126,25.04226469
2021/1/5 08:40,2,信義區光復南路447號前,121.5576018,25.03543621
2021/1/5 08:43,2,北投區大度路3段157號,121.4738527,25.12258975
2021/1/5 08:45,2,信義區信義路5段與松勇路口,121.5696973,25.03291074
2021/1/5 08:47,2,文山區和平東路4段與和平東路4段66巷口,121.5670399,25.00556115
2021/1/5 08:56,2,中正區羅斯福路3段與辛亥路1段口口,121.5293797,25.01948235
2021/1/5 09:00,2,內湖區金莊路與行善路417巷口口,121.5876676,25.0644719
2021/1/5 09:35,2,中山區錦州街250號,121.5341649,25.0603434
2021/1/5 09:45,2,中正區重慶南路1段100號,121.5131825,25.04236618
2021/1/5 09:48,2,大安區市民大道3段222號,121.5410662,25.04444562
2021/1/5 10:08,2,北投區大度路3段與立德路口,121.4714511,25.12276278
2021/1/5 10:10,2,文山區景隆街14號,121.5401006,24.9999662
2021/1/5 10:23,2,信義區松德路與虎林街164巷口,121.5760363,25.0383782
2021/1/5 10:27,2,中山區民族東路410巷2弄10號,121.537744,25.0667309
2021/1/5 10:28,2,萬華區忠孝橋往台北市汽車道,121.5052748,25.04941348
2021/1/5 10:29,2,文山區興隆路2段220巷與興隆路2段154巷口,121.5522314,25.0005075
2021/1/5 10:53,2,大安區信義路2段198巷與永康街7巷口,121.5303467,25.03311812
2021/1/5 10:56,2,大安區光復南路420巷與光復南路口,121.5574865,25.0364529
2021/1/5 11:00,2,內湖區康樂街72巷2號前,121.6186228,25.06946479
2021/1/5 11:05,2,中山區南京東路3段131號,121.5410921,25.05200649
2021/1/5 11:17,2,萬華區環河南路2段286巷1弄,121.4948131,25.03484596
2021/1/5 11:25,2,北投區明德路335巷,121.520248,25.1164534
2021/1/5 11:28,2,中山區北安路573巷2弄與北安路573巷口口,121.548064,25.0813317
2021/1/5 11:45,2,信義區基隆路1段與基隆路1段102巷口,121.5667675,25.04535644
2021/1/5 11:58,2,大安區光復南路108巷與光復南路96巷口,121.5571041,25.04395034
2021/1/5 12:15,2,士林區忠誠路1段與忠誠路1段171巷口,121.5302663,25.10769066
2021/1/5 12:20,2,士林區基河路328號對面,121.5189645,25.09456003
2021/1/5 12:57,2,中正區市民大道1段168號前,121.5185278,25.04831238
2021/1/5 13:00,2,南港區同德路69號與同德路口路邊停車格25號,121.5851211,25.04572867
2021/1/5 13:06,2,大安區金山南路2段與潮州街口,121.5263542,25.02900187
2021/1/5 13:08,2,中正區忠孝東路1段與紹興南街口,121.5252438,25.04435893
2021/1/5 13:10,2,北投區西安街1段187號,121.5189373,25.10922399
2021/1/5 13:42,2,萬華區東園街14巷與東園街口,121.4956333,25.02762963
2021/1/5 13:52,2,北投區中央北路4段與中央北路4段540巷口,121.4676633,25.12782089
2021/1/5 14:18,2,中山區濱江街134號,121.5352823,25.0723399
2021/1/5 14:25,2,中正區重慶南路3段與汀州路2段口,121.516309,25.02569013
2021/1/5 14:30,2,中正區忠孝東路2段48號,121.5284126,25.04346127
2021/1/5 14:50,2,松山區南京東路5段370號,121.5700225,25.05114273
2021/1/5 14:56,2,中正區忠孝西路1段與館前路口,121.5146796,25.04686936
2021/1/5 15:00,2,北投區學園路1號13號車格旁,121.4657638,25.12840022
2021/1/5 15:16,2,內湖區南京東路6段與行善路59巷口口,121.5788707,25.0561614
